cash_type,money,coffee_name,Date,Time
card,38.7,Latte,3/1/2024,15:50.5
card,38.7,Hot Chocolate,3/1/2024,19:22.5
card,38.7,Hot Chocolate,3/1/2024,20:18.1
card,28.9,Americano,3/1/2024,46:33.0
card,38.7,Latte,3/1/2024,48:14.6
card,33.8,Americano with Milk,3/1/2024,39:47.7
card,38.7,Hot Chocolate,3/1/2024,19:02.8
card,33.8,Americano with Milk,3/1/2024,39:03.6
card,38.7,Cocoa,3/1/2024,22:01.8
card,33.8,Americano with Milk,3/1/2024,23:15.9
card,33.8,Americano with Milk,3/1/2024,29:17.4
card,28.9,Americano,3/2/2024,22:07.0
card,33.8,Americano with Milk,3/2/2024,41:41.2
card,33.8,Americano with Milk,3/2/2024,59:45.5
card,28.9,Americano,3/2/2024,38:35.5
card,33.8,Americano with Milk,3/2/2024,37:24.5
card,28.9,Americano,3/2/2024,34:55.0
card,38.7,Latte,3/3/2024,27:18.6
card,28.9,Cortado,3/3/2024,33:56.1
card,28.9,Americano,3/3/2024,26:56.1
card,38.7,Hot Chocolate,3/3/2024,09:36.3
card,38.7,Cocoa,3/3/2024,06:40.3
card,28.9,Cortado,3/3/2024,08:45.9
card,33.8,Americano with Milk,3/3/2024,03:23.4
card,33.8,Americano with Milk,3/3/2024,04:27.9
card,38.7,Hot Chocolate,3/3/2024,08:05.0
card,38.7,Latte,3/4/2024,03:52.0
card,38.7,Latte,3/4/2024,54:51.0
card,33.8,Americano with Milk,3/4/2024,05:16.2
card,24,Espresso,3/4/2024,04:37.7
card,38.7,Latte,3/5/2024,59:52.7
card,38.7,Latte,3/5/2024,34:56.0
card,38.7,Latte,3/5/2024,34:06.0
card,38.7,Hot Chocolate,3/5/2024,35:25.0
card,38.7,Cocoa,3/5/2024,36:28.6
card,38.7,Hot Chocolate,3/5/2024,37:13.7
card,38.7,Hot Chocolate,3/5/2024,38:09.4
card,28.9,Cortado,3/5/2024,56:15.8
card,38.7,Hot Chocolate,3/5/2024,01:31.2
card,28.9,Americano,3/6/2024,24:07.7
card,28.9,Cortado,3/6/2024,25:14.4
card,38.7,Cappuccino,3/6/2024,52:01.8
card,38.7,Cappuccino,3/6/2024,53:18.3
card,38.7,Hot Chocolate,3/7/2024,18:40.5
card,38.7,Latte,3/7/2024,03:59.0
card,28.9,Americano,3/7/2024,40:22.6
card,33.8,Americano with Milk,3/7/2024,41:28.8
card,28.9,Cortado,3/8/2024,34:41.3
card,38.7,Cappuccino,3/8/2024,22:28.7
card,28.9,Americano,3/8/2024,53:02.0
card,28.9,Americano,3/8/2024,44:12.7
card,28.9,Americano,3/8/2024,45:11.0
card,33.8,Americano with Milk,3/8/2024,46:11.2
card,38.7,Latte,3/8/2024,57:51.5
card,38.7,Latte,3/8/2024,59:24.9
card,24,Espresso,3/9/2024,05:15.6
card,28.9,Americano,3/9/2024,07:38.3
card,38.7,Cappuccino,3/9/2024,09:47.7
card,28.9,Americano,3/9/2024,13:03.5
card,28.9,Americano,3/9/2024,14:26.5
card,38.7,Latte,3/9/2024,09:22.2
card,33.8,Americano with Milk,3/9/2024,41:06.2
card,28.9,Cortado,3/9/2024,53:10.4
card,38.7,Cappuccino,3/9/2024,54:36.8
card,33.8,Americano with Milk,3/9/2024,08:01.8
card,38.7,Hot Chocolate,3/9/2024,26:52.9
card,38.7,Cappuccino,3/9/2024,17:57.6
card,38.7,Hot Chocolate,3/9/2024,19:10.1
card,24,Espresso,3/10/2024,19:20.8
card,38.7,Latte,3/10/2024,34:00.5
card,28.9,Cortado,3/10/2024,35:54.7
card,38.7,Cappuccino,3/11/2024,32:58.8
card,28.9,Americano,3/11/2024,24:26.4
card,38.7,Latte,3/11/2024,25:45.7
card,28.9,Cortado,3/11/2024,50:49.6
card,28.9,Americano,3/12/2024,15:34.5
card,28.9,Cortado,3/12/2024,16:24.9
card,38.7,Hot Chocolate,3/12/2024,20:45.6
card,33.8,Americano with Milk,3/12/2024,46:23.3
card,28.9,Americano,3/12/2024,47:26.0
card,28.9,Americano,3/12/2024,15:43.3
card,38.7,Hot Chocolate,3/13/2024,06:43.0
card,28.9,Americano,3/13/2024,48:16.8
card,28.9,Americano,3/13/2024,18:06.3
card,28.9,Americano,3/13/2024,19:05.1
card,33.8,Americano with Milk,3/13/2024,26:40.9
card,24,Espresso,3/13/2024,40:22.3
card,24,Espresso,3/13/2024,41:20.4
card,24,Espresso,3/13/2024,47:09.4
card,38.7,Latte,3/14/2024,28:33.0
card,38.7,Hot Chocolate,3/14/2024,29:34.3
card,28.9,Cortado,3/14/2024,27:29.5
card,28.9,Americano,3/14/2024,28:24.5
card,33.8,Americano with Milk,3/14/2024,51:59.9
card,24,Espresso,3/14/2024,52:56.2
card,38.7,Latte,3/14/2024,20:38.4
card,33.8,Americano with Milk,3/14/2024,04:09.5
card,24,Espresso,3/14/2024,54:38.2
card,38.7,Hot Chocolate,3/14/2024,58:55.9
card,28.9,Cortado,3/14/2024,00:08.7
